spent,date,shown,link
Spent ₹0 – ₹250,From 13 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00781144015864070145?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00762777773633699841?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 29 May 2024 (47 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00739028322473738241?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 26 Apr - 5 May 2024 (10 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00701577307164246017?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 14 Apr - 30 May 2024 (34 days),Shown 4K – 5K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00667692008063631361?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00593603616049201153?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (21 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00557863990588342273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹175K – ₹200K,From 13 Apr - 5 Jun 2024 (49 days),Shown 600K – 700K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00516100140918898689?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 26 Apr - 12 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00485545262538817537?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00462999226855456769?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00453700657019355137?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 6 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00423318951720648705?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 13 Apr - 9 May 2024 (26 days),Shown 2K – 3K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00413924724372930561?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00400511782025691137?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00295054323270811649?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹15K – ₹20K,From 14 Apr - 23 May 2024 (29 days),Shown 125K – 150K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00257811665414782977?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00220835639128489985?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹750 – ₹1K,From 14 Apr - 30 May 2024 (36 days),Shown 7K – 8K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00213391395652632577?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹3K – ₹3.5K,From 13 Apr - 25 May 2024 (40 days),Shown 10K – 15K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00176219106540781569?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00152540024124997633?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00139082001801019393?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 24 Apr - 6 May 2024 (13 days),Shown 9K – 10K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00124666304849248257?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 27 Apr - 30 May 2024 (33 days),Shown 15K – 20K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00074468651238948865?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 23 Apr - 4 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR00050462464113901569?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (36 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18372749518140604417?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18344541547330011137?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹9K – ₹10K,From 13 Apr - 12 May 2024 (21 days),Shown 30K – 35K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18247792220667117569?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18176912203582537729?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 31 May 2024 (37 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18176508682815143937?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18133435314797019137?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 22 May 2024 (26 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17988886919139819521?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹4.5K – ₹5K,From 21 Apr - 21 May 2024 (11 days),Shown 15K – 20K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17755920196423385089?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17739149345564917761?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (32 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17666476025015435265?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 18 Apr - 5 May 2024 (17 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17641010236204515329?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (21 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17454859619087155201?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 6 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17233841289229762561?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 29 May 2024 (45 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17223610333533306881?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 10 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17096665119036801025?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17043564204973359105?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹10K – ₹15K,From 13 - 29 Apr 2024 (17 days),Shown 40K – 45K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16977777125748637697?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹8K – ₹9K,From 13 - 29 Apr 2024 (16 days),Shown 30K – 35K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16955259127611785217?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 6 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16912686037384298497?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 8 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16524145016407326721?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 10 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16488116219388362753?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16449992852718485505?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16395897980143534081?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16075290285088702465?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16063035128485511169?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹2K – ₹2.5K,From 21 Apr - 21 May 2024 (11 days),Shown 8K – 9K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15966583769473744897?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 21 Apr - 6 May 2024 (15 days),Shown 3K – 4K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15580963051380146177?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15501369404645441537?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15446254185279913985?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15354714344709423105?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 13 May 2024 (30 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15046964338629804033?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15011375346261950465?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14854944528443375617?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 22 May 2024 (37 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14779000160801259521?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹9K – ₹10K,From 13 - 29 Apr 2024 (16 days),Shown 30K – 35K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14683650512440524801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹3K – ₹3.5K,From 21 Apr - 13 May 2024 (10 days),Shown 10K – 15K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14209616964845830145?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (36 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14180126963477250049?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14139365868412338177?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹15K – ₹20K,From 13 Apr - 12 May 2024 (21 days),Shown 60K – 70K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR14057650164236025857?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 24 May 2024 (39 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR13985522201453920257?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 31 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR13956072882015567873?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 18 May 2024 (32 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR13936264080529555457?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 20 Apr - 18 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR13721662500531863553?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR13097626979606200321?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹6K – ₹7K,From 13 Apr - 21 May 2024 (19 days),Shown 20K – 25K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12911026662233079809?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12872165523260964865?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹10K – ₹15K,From 13 Apr - 12 May 2024 (21 days),Shown 45K – 50K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12854168716937527297?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (27 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12720960684209209345?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12702383335746306049?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 26 Apr - 5 May 2024 (10 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12633864519882375169?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹4K – ₹4.5K,From 21 - 29 Apr 2024 (9 days),Shown 15K – 20K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12459687034635681793?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 6 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12370242863227731969?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12366073515135205377?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 5 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12262297209659195393?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR12047288260603412481?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (21 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11619601876898545665?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 23 May 2024 (26 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11520188433561550849?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (34 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11464456388172840961?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (29 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11347450758791430145?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (27 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11285209604566286337?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR11171722412393758721?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10998668078274838529?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (36 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10817063941738332161?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (29 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10771464995511205889?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 22 Apr - 12 May 2024 (11 days),Shown 4K – 5K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10725634052330618881?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 18 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10718037526494314497?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 11 May 2024 (25 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10696487098589904897?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 20 Apr - 18 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10223913702436896769?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (34 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10100991600986423297?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR10093384080033841153?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09979447187605553153?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 9 May 2024 (17 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09867021024153829377?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09763221628933636097?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09761289237247819777?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 20 Apr - 18 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09642386400552681473?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09442613933878804481?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 3 Jun 2024 (36 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09344386863588179969?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 23 May 2024 (23 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR09040956838694092801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 19 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08958419799331831809?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08568272391866679297?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹10K – ₹15K,From 13 - 29 Apr 2024 (16 days),Shown 50K – 60K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08527335374941323265?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 15 Apr - 30 May 2024 (24 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08348408549218451457?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 19 May 2024 (32 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08333328747243503617?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08159650990031634433?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08081179944668889089?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹6K – ₹7K,From 13 - 29 Apr 2024 (17 days),Shown 20K – 25K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR08044324314905837569?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 5 May 2024 (14 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07997464228841652225?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 8 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07989864404470464513?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 14 Apr - 24 May 2024 (27 days),Shown 8K – 9K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07953337528684118017?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹15K – ₹20K,From 13 Apr - 12 May 2024 (21 days),Shown 50K – 60K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07906964526271037441?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (32 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07886346484226981889?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (30 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07826110839210901505?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 8 Jun 2024 (49 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR07590129255611105281?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
